index,target
3135.0,2
4655.0,12
22118.0,2 35
23511.0,0
45.0,
19006.0,0
23989.0,3 4
21464.0,2 12
20344.0,
26679.0,
11295.0,
1007.0,27
23199.0,0 3
23424.0,0
3313.0,0 1 2 8 12 35 36
24286.0,1
8744.0,
22961.0,
20140.0,
1399.0,0 4 5 20 28 29 36
23708.0,
20569.0,
7730.0,0 2
23504.0,7
25792.0,0
7995.0,30
21646.0,27 30
20689.0,0 35 47
21674.0,12 28
486.0,
20516.0,1 2 4
7861.0,0 2
12323.0,1
24087.0,1
3460.0,0 2 20
22836.0,30
24411.0,0
351.0,3
10899.0,
24444.0,
1721.0,0
21414.0,20
20245.0,
13221.0,20
10253.0,
24410.0,8
17422.0,27 28
4275.0,0
18589.0,
20024.0,2 37
11393.0,28
122.0,0 28 36
494.0,2 3 15 23 32
15134.0,28
8177.0,12
22892.0,
12678.0,
4714.0,12 28
23945.0,0
19490.0,30
21056.0,19
6554.0,28
896.0,18
397.0,
10630.0,
7526.0,12 43
12017.0,3
17576.0,0
22278.0,
11203.0,0
22440.0,16
21051.0,0
24053.0,0
25851.0,27 30
276.0,12
825.0,10 28 39 41
23089.0,0 2
10608.0,19
8685.0,2
2734.0,28 29
18054.0,27
16946.0,
23791.0,0
8908.0,18
4097.0,0 8 10 12 27
195.0,
25552.0,1
12744.0,12
21238.0,
22016.0,29
20751.0,0
1152.0,28
24426.0,3
15438.0,1 9 12
24966.0,12
3916.0,2 3
22262.0,
9607.0,0
25040.0,12
7796.0,2
11303.0,0 3
26133.0,0 30
17603.0,
25826.0,
7641.0,27
14468.0,12
22797.0,
9696.0,
3943.0,
7289.0,11
13338.0,
25572.0,18
17073.0,12
2465.0,12
8510.0,12
23707.0,2
24467.0,0 36
25749.0,11
23461.0,
10147.0,5
26412.0,11
27029.0,42
14720.0,0 28
6022.0,3 8
15849.0,12
21813.0,28
25019.0,27
14140.0,12 28
23440.0,0
25115.0,8 23 24 43
20177.0,0 20
25964.0,8 12
22805.0,0 2 4
26298.0,0 1 18 27
13783.0,1
25811.0,
19758.0,8 13 23 31
16053.0,
510.0,19
5157.0,
24375.0,8
15515.0,2
16221.0,
20827.0,2
22730.0,
25205.0,19
15414.0,11 27
22569.0,3
23783.0,4
26466.0,27
588.0,
21865.0,0 22 23 48
22011.0,28
21046.0,23
26037.0,12 27
26181.0,
10949.0,3
19369.0,
21044.0,1
24933.0,
20498.0,5 12
24647.0,41
22033.0,18
13676.0,1 2
2045.0,
18841.0,3
25089.0,18
11356.0,2
9116.0,18
14834.0,0
20595.0,0 2
20870.0,12
1055.0,19
4287.0,3 42
21681.0,28
2945.0,
22489.0,28
8254.0,2
23879.0,0
21168.0,
23441.0,0
26108.0,1 27
25106.0,28
11376.0,
5233.0,4 30
3254.0,0
7597.0,28
24812.0,12
26469.0,11 27
578.0,3
23716.0,0
5653.0,
23078.0,
24952.0,
23454.0,16
16449.0,2 3
18438.0,0 27
21732.0,
26142.0,
11482.0,3 18
16067.0,12 28
24824.0,0
26001.0,15 27
21589.0,19
902.0,18 28
19859.0,
7002.0,0
23074.0,3 30
23171.0,0
16465.0,0 3
24548.0,8 13 23 31
26926.0,1 27
25483.0,1
26393.0,0 11
1683.0,2
22460.0,
26252.0,27
22354.0,1 27
25273.0,0 4 23
1071.0,
26811.0,8
26907.0,
26497.0,18
6390.0,0 3 4 5
8412.0,40
22670.0,
10575.0,30
24913.0,
17913.0,2
19134.0,18
26215.0,7 11 12 23
3419.0,19
21294.0,12
20394.0,
25980.0,1 27
21718.0,
20422.0,
19723.0,1
1064.0,
15602.0,27
11690.0,0
9573.0,5
22224.0,0
4118.0,
22432.0,8
22423.0,0 44
6775.0,4
8485.0,8 13 23 31
18522.0,
25482.0,12
12240.0,
25021.0,19
23380.0,2
23589.0,0
520.0,27
4431.0,
9032.0,
19692.0,
6670.0,
25404.0,
23976.0,2
22627.0,21
17620.0,18
23096.0,13 15 16 27 30 31 40
22009.0,0 28
11715.0,15 27
21196.0,12
24567.0,0 2
25197.0,
2915.0,
21890.0,28
4625.0,18
22825.0,
26566.0,8 13 23 31
24101.0,0
12793.0,12
21363.0,21
589.0,2
24805.0,12 27
9839.0,0
21062.0,2 10 12 27 29
602.0,2 36
25830.0,
26824.0,16 33
20656.0,2
17346.0,27 28
18191.0,
24889.0,
21905.0,20
10744.0,
3761.0,
23619.0,0
22400.0,8
21074.0,
24818.0,1
26694.0,12
24323.0,8
2989.0,
21150.0,12 28
23829.0,0
23959.0,0
11734.0,11
7052.0,36
3120.0,27 31
22946.0,1 9 12
26530.0,11
22590.0,
4874.0,
22028.0,
23191.0,2
26202.0,0 11 27
4865.0,
14270.0,12
53.0,
1239.0,27
10957.0,
21313.0,12 36
4279.0,0
16347.0,0 28
15814.0,
12797.0,
24967.0,11
24642.0,18
26697.0,10
22720.0,0 27
5191.0,3 30
22641.0,27
10081.0,
19928.0,0 13 30
16351.0,
12619.0,0 12
17590.0,3 8 10 20 21 28
775.0,19
13498.0,12
17722.0,0
2472.0,28
8620.0,0
14807.0,0
16301.0,0 27 28 30
16607.0,1 12
17430.0,
21642.0,12
10159.0,15
22913.0,19
22301.0,
17535.0,0 2
10951.0,3
7790.0,8 13 23 31
20924.0,12
3690.0,8 12
572.0,0
19395.0,
24194.0,1
21755.0,19
21005.0,
24530.0,8 13 23 31
17225.0,0 14 27
23930.0,
23143.0,
24020.0,0
22333.0,0
25863.0,3 11
24129.0,0 2
14569.0,
17488.0,27
3870.0,12
25470.0,0 12
10639.0,0
25129.0,0 12
3631.0,
399.0,16 38
19923.0,2 3
5998.0,12
22791.0,0 27
23690.0,
8259.0,
20732.0,28
17089.0,20
88.0,8
18925.0,28
13331.0,28
16920.0,1 2 3 4 6 7 8 9 10 11 12 13 18 19 20 22 23 25 27 28 30 32 34 35 36 37 39 41 42 43 46 47 49
22596.0,
19391.0,1
14387.0,
23247.0,0 30
13725.0,5
11601.0,2
26519.0,27
7472.0,1
26611.0,
15287.0,0
21282.0,0 12 28
24046.0,
8885.0,12
25254.0,16
24942.0,12 28
3413.0,
21997.0,
6200.0,12
6644.0,0
10707.0,30
2866.0,
22878.0,21 27 30
5873.0,
5626.0,
20041.0,
2510.0,
20753.0,19
16796.0,
26168.0,0 3 15 30
593.0,11
20784.0,0 1 36
12237.0,
26282.0,27 40
342.0,0
18738.0,18
19717.0,8 13 23 31
25208.0,2 30
24920.0,1 11
24258.0,1 2
22103.0,18
24251.0,
12802.0,12
23539.0,0 1
15964.0,
21340.0,28
25127.0,0
17286.0,12 27
26089.0,27
9650.0,1
12310.0,
21511.0,11
2303.0,12
25493.0,8
9635.0,0
540.0,19
20410.0,0
23377.0,
22327.0,2
16173.0,28 43
1248.0,2 34
10191.0,
23778.0,2
26928.0,
9440.0,27
21387.0,21
23301.0,2
26991.0,30
12219.0,0 2
23667.0,0 2
24266.0,12 27
26475.0,0 27
14437.0,
6560.0,
11764.0,2
11827.0,1
23509.0,0
9914.0,0
7468.0,1
21338.0,8 13 23 31
27027.0,0
20290.0,28
23251.0,0
22953.0,
26707.0,8 13 23 31
22655.0,
11297.0,0 3 4 5 8 13 14 15 30 31 33 34
21055.0,12
26997.0,16
21298.0,19
22589.0,0
19858.0,0
22375.0,
21186.0,18
21119.0,
19909.0,1
5133.0,28
25590.0,0 12 27
14632.0,
21592.0,20
2649.0,
25385.0,12 23
26776.0,2 3
24059.0,0
13919.0,2
24745.0,
26346.0,27
9.0,
25683.0,
25649.0,40
11111.0,30
6261.0,
20488.0,0 2 3
26275.0,0 27
19419.0,12 28
18469.0,
8548.0,
6615.0,0 30
3440.0,2 3
18635.0,10 12
17594.0,28
24702.0,
11854.0,
21680.0,
25927.0,0
20948.0,2
9230.0,
19703.0,0
9659.0,
24887.0,0 2
8040.0,0 28
12998.0,8 13 23 31
5064.0,0
24504.0,18
23602.0,2
22570.0,0
20069.0,28
13011.0,12
7229.0,2
20727.0,0 2
25999.0,27
1689.0,2
2640.0,12
14785.0,2
20884.0,19
11334.0,
24917.0,11
25345.0,19
22152.0,45
25611.0,27
24992.0,28
24537.0,0 12
6748.0,3 30 37
11221.0,27 30
21689.0,19
23942.0,0 5
20094.0,35
20734.0,
15156.0,0 1 35
17726.0,16
24909.0,
12141.0,
26753.0,22 26
4459.0,2
26605.0,2
13462.0,20
20432.0,
24086.0,0
1251.0,21
16419.0,8 13 23 31
25601.0,
18010.0,30
12520.0,
20675.0,27
23762.0,0
4074.0,0 27
24620.0,
23203.0,3
9996.0,0 12 28
20907.0,
23177.0,3 16
14826.0,2
2365.0,18
5584.0,
24473.0,10
14575.0,0
4393.0,12
17199.0,0
3796.0,
23670.0,0 2 11 14 16 30 33 37
23501.0,0 1 2
18180.0,12
25588.0,28
26636.0,2
26673.0,
17656.0,0
5351.0,
17125.0,23 43
9916.0,0
18031.0,11 27
21941.0,
19770.0,19
24959.0,40
6965.0,
11629.0,1
1422.0,0
23016.0,1
18339.0,
23197.0,30
16266.0,28
6827.0,
25774.0,2
24462.0,8 45
3065.0,0
22584.0,2
26098.0,11 27
23194.0,19
23883.0,3
23856.0,2
21582.0,0
12151.0,
26970.0,
4094.0,44
763.0,
2263.0,0
4712.0,18
