iter	Passed	Remaining
0	43	131609
1	79	119856
2	115	115119
3	142	106423
4	189	113780
5	294	147179
6	336	144011
7	385	144132
8	468	155637
9	540	161716
10	640	173989
11	700	174387
12	791	181804
13	871	185955
14	956	190294
15	1088	203082
16	1161	203739
17	1221	202407
18	1289	202335
19	1360	202733
20	1421	201643
21	1538	208209
22	1632	211358
23	1696	210395
24	1752	208507
25	1802	206129
26	1881	207227
27	1935	205491
28	1999	204840
29	2066	204551
30	2124	203449
31	2189	203048
32	2259	203125
33	2310	201532
34	2546	215706
35	2825	232633
36	2931	234792
37	3057	238299
38	3111	236254
39	3197	236580
40	3252	234738
41	3314	233438
42	3353	230590
43	3389	227711
44	3436	225657
45	3486	223894
46	3537	222288
47	3576	219931
48	3611	217498
49	3650	215383
50	3696	213746
51	3758	213065
52	3796	211080
53	3845	209807
54	3884	208003
55	3923	206282
56	3950	203995
57	3984	202129
58	4014	200111
59	4047	198303
60	4076	196420
61	4123	195420
62	4264	198828
63	4341	199165
64	4408	199079
65	4461	198326
66	4504	197178
67	4543	195901
68	4600	195439
69	4638	194163
70	4668	192611
71	4699	191106
72	4736	189900
73	4767	188525
74	4796	187047
75	4881	187807
76	4922	186846
77	4955	185648
78	4982	184218
79	5011	182929
80	5043	181750
81	5075	180605
82	5120	179963
83	5171	179520
84	5200	178345
85	5228	177177
86	5276	176656
87	5310	175735
88	5350	175001
89	5387	174186
90	5424	173404
91	5454	172413
92	5488	171545
93	5526	170866
94	5619	171844
95	5807	175685
96	5863	175482
97	5929	175574
98	5963	174744
99	5991	173762
100	6031	173133
101	6096	173214
102	6128	172369
103	6156	171438
104	6185	170537
105	6220	169824
106	6259	169231
107	6290	168451
108	6319	167603
109	6359	167093
110	6417	167040
111	6452	166385
112	6482	165631
113	6519	165052
114	6554	164437
115	6583	163677
116	6610	162877
117	6635	162062
118	6663	161335
119	6690	160567
120	6719	159875
121	6758	159431
122	6793	158908
123	6872	159408
124	6935	159506
125	6966	158904
126	6996	158278
127	7024	157604
128	7068	157325
129	7111	156997
130	7147	156546
131	7183	156083
132	7315	157689
133	7364	157503
134	7468	158491
135	7512	158201
136	7543	157647
137	7585	157307
138	7621	156874
139	7669	156667
140	7709	156325
141	7750	155999
142	7784	155532
143	7826	155227
144	7859	154757
145	7907	154581
146	7970	154702
147	8009	154344
148	8043	153902
149	8081	153541
150	8123	153261
151	8162	152944
152	8202	152633
153	8235	152199
154	8271	151818
155	8306	151429
156	8342	151063
157	8393	150973
158	8437	150753
159	8470	150344
160	8508	150037
161	8544	149694
162	8583	149395
163	8625	149164
164	8655	148712
165	8680	148188
166	8705	147681
167	8744	147407
168	8775	147007
169	8818	146799
170	8846	146348
171	8879	145988
172	8912	145631
173	8947	145315
174	8986	145073
175	9019	144725
176	9062	144532
177	9096	144209
178	9124	143795
179	9153	143400
180	9183	143031
181	9211	142626
182	9251	142410
183	9283	142073
184	9323	141861
185	9353	141506
186	9378	141074
187	9409	140743
188	9448	140534
189	9492	140390
190	9533	140203
191	9562	139850
192	9593	139532
193	9626	139239
194	9658	138933
195	9690	138634
196	9725	138373
197	9752	138006
198	9776	137606
199	9807	137308
200	9837	136991
201	9860	136587
202	9885	136207
203	9911	135844
204	9939	135517
205	9975	135302
206	10004	134983
207	10041	134791
208	10072	134504
209	10104	134242
210	10146	134120
211	10192	134040
212	10223	133768
213	10252	133471
214	10291	133307
215	10327	133109
216	10362	132903
217	10397	132683
218	10430	132457
219	10463	132218
220	10495	131982
221	10529	131760
222	10564	131553
223	10595	131311
224	10630	131107
225	10658	130826
226	10688	130569
227	10733	130491
228	10770	130324
229	10803	130112
230	10829	129818
231	10853	129499
232	10881	129224
233	10908	128939
234	10934	128649
235	10961	128378
236	10989	128113
237	11021	127900
238	11053	127688
239	11091	127557
240	11138	127512
241	11168	127289
242	11199	127066
243	11248	127053
244	11282	126874
245	11310	126620
246	11342	126424
247	11369	126169
248	11401	125962
249	11437	125816
250	11466	125588
251	11495	125355
252	11527	125159
253	11556	124933
254	11584	124705
255	11611	124462
256	11641	124256
257	11669	124025
258	11697	123793
259	11726	123576
260	11754	123356
261	11781	123121
262	11809	122904
263	11837	122682
264	11864	122450
265	11890	122209
266	11916	121972
267	11948	121806
268	11974	121574
269	12002	121359
270	12027	121120
271	12055	120910
272	12083	120698
273	12115	120535
274	12141	120306
275	12165	120067
276	12189	119826
277	12213	119589
278	12237	119348
279	12269	119192
280	12295	118969
281	12322	118772
282	12349	118560
283	12376	118358
284	12400	118132
285	12424	117906
286	12449	117680
287	12474	117463
288	12502	117280
289	12531	117107
290	12562	116950
291	12587	116738
292	12612	116528
293	12637	116314
294	12668	116161
295	12692	115952
296	12722	115783
297	12749	115597
298	12774	115399
299	12798	115189
300	12824	114994
301	12848	114788
302	12873	114588
303	12899	114401
304	12932	114269
305	12958	114084
306	12983	113893
307	13008	113698
308	13033	113502
309	13059	113318
310	13086	113148
311	13110	112950
312	13135	112768
313	13163	112605
314	13190	112433
315	13214	112238
316	13238	112050
317	13263	111864
318	13289	111689
319	13314	111505
320	13346	111385
321	13379	111275
322	13409	111135
323	13442	111024
324	13468	110856
325	13498	110719
326	13531	110609
327	13561	110474
328	13591	110340
329	13618	110183
330	13641	109996
331	13665	109820
332	13690	109651
333	13718	109505
334	13758	109454
335	13796	109382
336	13825	109248
337	13859	109156
338	13891	109042
339	13929	108979
340	13961	108866
341	13995	108769
342	14028	108667
343	14056	108529
344	14086	108403
345	14127	108362
346	14155	108224
347	14190	108143
348	14221	108027
349	14262	107990
350	14313	108027
351	14355	107992
352	14382	107848
353	14412	107726
354	14450	107662
355	14479	107536
356	14511	107435
357	14540	107310
358	14580	107263
359	14611	107154
360	14646	107070
361	14679	106973
362	14715	106898
363	14748	106805
364	14796	106821
365	14829	106727
366	14865	106652
367	14900	106571
368	14939	106523
369	14968	106400
370	14999	106292
371	15043	106271
372	15075	106172
373	15110	106096
374	15148	106036
375	15178	105929
376	15212	105842
377	15250	105788
378	15289	105735
379	15323	105649
380	15355	105557
381	15382	105422
382	15409	105292
383	15467	105370
384	15500	105284
385	15525	105136
386	15559	105056
387	15591	104962
388	15629	104905
389	15665	104840
390	15699	104757
391	15736	104697
392	15766	104591
393	15800	104505
394	15824	104363
395	15851	104235
396	15875	104090
397	15909	104013
398	15950	103975
399	15992	103953
400	16026	103870
401	16054	103755
402	16085	103654
403	16124	103613
404	16170	103611
405	16219	103627
406	16254	103556
407	16286	103465
408	16318	103379
409	16357	103328
410	16406	103347
411	16444	103298
412	16478	103219
413	16513	103146
414	16545	103058
415	16576	102968
416	16609	102884
417	16652	102860
418	16683	102770
419	16710	102647
420	16747	102595
421	16793	102590
422	16840	102594
423	16879	102553
424	16922	102527
425	16954	102442
426	16982	102330
427	17013	102242
428	17047	102167
429	17081	102091
430	17111	101993
